"Date","Net Profit/Loss Before Extraordinary Items And Tax","Net CashFlow From Operating Activities","Net Cash Used In Investing Activities","Net Cash Used From Financing Activities","Foreign Exchange Gains / Losses","Adjustments On Amalgamation Merger Demerger Others","Net Inc/Dec In Cash And Cash Equivalents","Cash And Cash Equivalents Begin of Year","Cash And Cash Equivalents End Of Year"
"23-Mar","0","0","0","0","0","0","0","0","0"
"22-Mar","84142","110654","-110103","17289","0","941","18781","17397","36178"
"21-Mar","55461","26185","-141634","101902","0","24","-13523","30920","17397"
"20-Mar","53606","94877","-72520","-2541","0","23","19839","11081","30920"
"19-Mar","55227","42346","-95128","55906","0","621","3745","7336","11081"
"18-Mar","49426","71459","-68290","-2001","0","98","1266","2989","4255"
"17-Mar","40034","49550","-66292","8617","0","91","-8034","11023","2989"
"16-Mar","38737","38134","-36190","-3210","0","4","-1262","12285","11023"
"15-Mar","31114","34374","-64898","8444","0","192","-21888","34360","12472"
"14-Mar","28763","43261","-73070","13713","0","0","-16096","50456","34360"
"13-Mar","26284","32995","-14797","-8249","0","0","9949","39598","49547"
"12-Mar","25750","26974","-3046","-11465","0","0","12463","27135","39598"
"11-Mar","25242","33280","-20333","725","0","0","13672","13463","27135"
"10-Mar","20547.44","20490.22","-18204.5","-10999.6","0","0","-8713.88","22176.53","13462.65"
"9-Mar","18433.23","18245.86","-24084.2","23732.58","0","0","17894.24","4282.29","22176.53"
"8-Mar","23010.83","16233.1","-30425.55","16716.81","0","0","2524.36","1949.8","4474.16"
"7-Mar","14647.03","16748.99","-29245.06","10736.1","0","0","-1759.97","3697.01","1937.04"
"6-Mar","11024.26","10273.14","-13189.34","1916.45","0","0","-999.75","3616.16","2616.41"
"5-Mar","9125.45","17305.07","-8213.29","-5706.18","0","0","3385.6","225.12","3610.72"
"4-Mar","0","0","0","0","0","0","0","0","0"
