"Date","Revenue From Operations [Gross]","Less: Excise/Sevice Tax/Other Levies","Revenue From Operations [Net]","Total Operating Revenues","Other Income","Total Revenue","Cost Of Materials Consumed","Purchase Of Stock-In Trade","Operating And Direct Expenses","Changes In Inventories Of FGWIP And Stock In Trade","Employee Benefit Expenses","Finance Costs","Depreciation And Amortisation Expenses","Other Expenses","Total Expenses","Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","Exceptional Items","Profit/Loss Before Tax","Current Tax","Less: MAT Credit Entitlement","Deferred Tax","Other Direct Taxes","Total Tax Expenses","Profit/Loss After Tax And Before ExtraOrdinary Items","Profit/Loss From Continuing Operations","Profit/Loss For The Period","Minority Interest","Consolidated Profit/Loss After MI And Associates","Basic EPS (Rs.)","Diluted EPS (Rs.)","Equity Share Dividend","Tax On Dividend"
"23-Mar","892944","892944","892944","892944","11826","904770","450241","169302","0","-30263","24894","19571","40319","135862","809926","94844","0","94844","20713","0","0","0","20713","74131","74131","74131","-7386","66702","99","99","0","0"
"22-Mar","792756","792756","699962","699962","14947","714909","360784","135585","29126","-21457","18775","14584","29797","67418","633883","81026","2836","83862","3161","0","13136","0","16297","67565","67565","67565","-7140","60705","92","91","4297","0"
"21-Mar","539238","539238","466924","466924","16327","483251","199915","101850","19978","-9064","14817","21189","26572","59680","433948","49303","5642","54945","2205","0","-483","0","1722","53223","53223","53223","-4611","49128","76","75","3921","0"
"20-Mar","659997","659997","597535","597535","13164","610699","260621","149667","24155","-5048","14075","22027","22203","67459","552756","57943","-4444","53499","8630","0","5096","0","13726","39773","39773","39773","-526","39354","63","63","3852","732"
"19-Mar","625212","625212","569209","569209","8386","577595","275237","123930","28360","-4680","12488","16495","20934","49707","522471","55124","0","55124","11683","0","3707","0","15390","39734","39734","39734","-249","39588","67","67","3554","728"
"18-Mar","430731","430731","391677","391677","9949","401626","207448","68628","0","-8610","9523","8052","16706","50512","352259","49367","0","49367","10098","0","3248","0","13346","36021","36021","36021","-5","36075","61","61","3255","661"
"17-Mar","330180","330180","305382","305382","9443","314825","175087","42431","0","-5218","8388","3849","11646","38500","274683","40142","0","40142","8880","0","1321","0","10201","29941","29941","29941","68","29901","101","101","0","0"
"16-Mar","293298","293298","273999","273999","12053","286052","158199","28055","18479","2560","7407","3691","11565","17595","247551","38501","0","38501","8042","0","834","0","8876","29625","29625","29625","-116","29745","101","101","6039","1220"
"15-Mar","388494","388494","375435","375435","8613","384048","266862","25701","21619","1483","6262","3316","11547","17717","352934","31114","0","31114","6296","0","1178","0","7474","23640","23640","23640","-74","23566","80","80","2944","615"
"14-Mar","446339","446339","434460","434460","9001","443461","346491","17091","18395","-560","5572","3836","11201","12672","414698","28763","0","28763","5929","0","286","0","6215","22548","22548","22548","-55","22493","77","77","2793","475"
"13-Mar","408392","408392","397062","397062","7867","404929","326779","10425","14897","-4954","5179","3463","11232","11691","378712","26217","0","26217","5327","0","4","0","5331","20886","20886","20886","-7","20879","71","71","2628","447"
"12-Mar","368571","368571","358501","358501","6194","364695","291800","9235","11855","-2844","3955","2893","12401","9992","339287","25408","0","25408","5226","0","465","0","5691","19717","19717","19717","7","19724","66","67","2531","410"
"11-Mar","276372","276372","265811","265811","2543","268354","201850","7032","9944","-4458","3324","2411","14121","10075","244299","24055","0","24055","4412","0","371","0","4783","19272","19272","19272","22","19294","65","68","2385","387"
"10-Mar","211727.07","211727.07","203370.57","203370.57","2833.27","206214.61","159880.49","7537.51","2466.92","-6034.99","2790.87","2051.69","11008.82","6488.82","186190.13","20024.48","0","20024.48","3124.91","0","1131.37","13.21","4269.49","15754.99","24360.33","24360.33","-79.56","24439.89","82","82","2084.67","346.24"
"9-Mar","155788.51","155788.51","151335.54","151335.54","1422.28","152630.68","113941.14","7201.77","1857.13","-2269.54","3017.57","1816.03","5725.44","3533.03","134822.57","17808.11","0","17808.11","1208.18","0","1645.42","78.66","2932.26","14875.85","14878.43","14878.43","-18.41","14896.84","108","108","1897.05","322.4"
"8-Mar","143004.98","143004.98","137509.44","137509.44","2198.32","139722.72","95821.74","9850.71","2028.01","-1533.93","2738.16","1085.89","5004.2","6440.59","121435.37","18287.35","0","18287.35","2572.08","0","865.93","57.58","3495.59","14791.76","19582.01","19582.01","1.86","19580.15","135","135","1631.24","277.23"
"7-Mar","120431.1","120431.1","113776.42","113776.42","325.76","114099.38","82133.75","1944.93","1422.48","-696.92","2590.89","1231.12","4899.45","5916.45","99442.15","14657.23","0","14657.23","1626.46","0","905.28","48.83","2580.57","12076.66","11538.31","11538.31","-0.09","11538.4","83","83","1440.45","202.02"
"6-Mar","90937.94","90937.94","82691.27","82691.27","591.11","83757.05","59169.66","2541.59","940.03","-2120.16","1469.26","934.56","3494.93","6194.5","72624.37","11132.68","0","11132.68","894.78","0","704","38.72","1637.5","9495.18","9473.26","9473.26","-3.47","9476.73","68","68","1393.51","195.44"
"5-Mar","73710.46","73710.46","66465.19","66465.19","1551.68","68086.5","45969.43","2356.55","828.98","524.35","857.59","1474.07","3727.36","3242.49","58980.82","9105.68","0","9105.68","705.22","0","792","8","1505.22","7600.46","7679.33","7679.33","0","7679.33","55","55","1045.13","146.58"
"4-Mar","56470.84","56470.84","52073.44","52073.44","1422.76","53496.2","34492.02","2419.81","400.34","605.41","806.37","1439.67","3250.81","3771.7","47186.13","6310.07","0","6310.07","351.06","0","790.02","0","1141.08","5168.99","5198.29","5198.29","0","5198.29","37","37","733.1","91.64"
